Target, Output
81.30000, 78.40317
81.30000, 76.45023
81.30000, 77.18141
81.30000, 77.46093
81.30000, 76.67262
81.30000, 77.17809
81.30000, 77.51040
81.30000, 77.02393
81.30000, 76.73563
81.30000, 78.28674
81.30000, 75.91486
81.30000, 76.82031
81.30000, 76.66274
81.30000, 77.88845
81.30000, 76.96494
81.30000, 77.30428
81.30000, 76.82566
81.30000, 77.22494
81.30000, 76.49941
81.30000, 77.00463
81.30000, 77.97422
83.90000, 81.52809
83.90000, 81.95315
83.90000, 81.49029
83.90000, 81.43816
83.90000, 82.20176
83.90000, 82.15375
83.90000, 82.05476
83.90000, 82.49194
83.90000, 81.80680
83.90000, 81.51938
83.90000, 81.01991
83.90000, 81.53412
83.90000, 80.56061
83.90000, 81.11742
83.90000, 79.76322
83.90000, 80.21650
83.90000, 81.61219
83.90000, 81.50003
83.90000, 79.98934
83.90000, 82.32764
83.90000, 80.40434
83.90000, 80.86257
83.90000, 81.90008
83.90000, 81.31249
83.90000, 81.86295
83.90000, 82.29123
83.90000, 81.28520
83.90000, 79.93671
83.90000, 80.77525
83.90000, 82.07626
83.90000, 82.04117
83.90000, 82.32049
83.90000, 81.77104
83.90000, 81.40859
83.90000, 84.17772
83.90000, 83.10660
83.90000, 81.63190
83.90000, 81.91479
83.90000, 83.13744
83.90000, 82.83073
83.90000, 82.07301
83.90000, 82.28152
90.90000, 88.25754
90.90000, 87.96590
90.90000, 88.99482
90.90000, 89.37334
90.90000, 89.19257
90.90000, 90.26875
90.90000, 88.61069
90.90000, 88.08128
90.90000, 87.32282
90.90000, 88.85333
90.90000, 88.59541
90.90000, 88.64580
90.90000, 87.51296
90.90000, 88.56114
90.90000, 87.79284
90.90000, 88.69671
90.90000, 87.37440
90.90000, 88.36359
90.90000, 88.85595
90.90000, 88.74940
90.90000, 87.91276
90.90000, 89.76863
90.90000, 89.51293
90.90000, 88.53228
90.90000, 89.86494
90.90000, 88.76781
90.90000, 87.43934
69.10000, 69.26362
69.10000, 69.55190
69.10000, 69.59898
69.10000, 70.50757
69.10000, 71.23579
69.10000, 71.01200
69.10000, 69.52255
69.10000, 71.51971
69.10000, 72.85892
69.10000, 71.85271
69.10000, 71.90891
69.10000, 69.76937
69.10000, 70.81909
69.10000, 75.05447
69.10000, 72.21011
69.10000, 70.66260
69.10000, 71.24265
69.10000, 73.74935
69.10000, 72.31838
69.10000, 73.03290
69.10000, 72.11930
69.10000, 70.03991
69.10000, 70.67857
69.10000, 71.80445
69.10000, 73.00361
69.10000, 70.10241
69.10000, 70.04668
69.10000, 70.66535
27.60000, 29.06014
27.60000, 27.63505
27.60000, 27.71730
27.60000, 29.51286
27.60000, 29.72244
27.60000, 28.86346
27.60000, 27.44010
27.60000, 28.84997
27.60000, 27.14645
27.60000, 27.53475
27.60000, 28.65914
27.60000, 28.77690
27.60000, 28.18230
27.60000, 26.80570
27.60000, 27.33400
27.60000, 28.18549
27.60000, 26.85478
27.60000, 27.17289
27.60000, 27.55567
27.60000, 27.40872
27.60000, 27.42203
27.60000, 29.00945
27.60000, 27.01747
27.60000, 27.14964
27.60000, 27.95303
27.60000, 28.04987
27.60000, 28.34883
74.00000, 76.86627
74.00000, 77.37250
74.00000, 76.18110
74.00000, 77.30448
74.00000, 76.58699
74.00000, 76.61608
74.00000, 76.88170
74.00000, 77.79016
74.00000, 77.26754
74.00000, 76.57499
74.00000, 76.80456
74.00000, 77.10526
74.00000, 77.48112
74.00000, 76.68455
74.00000, 76.46251
74.00000, 77.59141
74.00000, 76.98758
74.00000, 77.28697
74.00000, 77.46119
74.00000, 77.60321
74.00000, 77.93013
74.00000, 77.00905
74.00000, 76.77580
74.00000, 76.98996
74.00000, 77.48464
74.00000, 76.92204
74.00000, 76.60000
74.00000, 76.29077
74.00000, 76.37491
74.00000, 76.32543
74.00000, 77.18541
74.00000, 77.11845
74.00000, 76.36222
74.00000, 76.99132
74.00000, 76.80776
74.00000, 78.92120
74.00000, 77.11509
74.00000, 77.14640
74.00000, 78.18138
74.00000, 76.43767
74.00000, 77.22784
74.00000, 76.58477
26.10000, 26.08317
26.10000, 29.04092
26.10000, 29.66150
26.10000, 28.70381
26.10000, 29.05778
26.10000, 28.90598
26.10000, 29.09092
26.10000, 30.81338
26.10000, 28.13745
26.10000, 27.85666
26.10000, 28.17273
26.10000, 30.89046
26.10000, 26.41796
26.10000, 26.78924
26.10000, 28.71205
26.10000, 29.31870
26.10000, 28.08779
26.10000, 27.34424
26.10000, 26.82809
26.10000, 26.54390
26.10000, 29.19473
26.10000, 28.85931
52.50000, 54.63676
52.50000, 54.54959
52.50000, 54.63937
52.50000, 54.58347
52.50000, 54.83651
52.50000, 54.43732
52.50000, 53.95719
52.50000, 54.34498
52.50000, 53.32017
52.50000, 52.89905
52.50000, 54.27870
52.50000, 54.84889
52.50000, 54.00055
52.50000, 53.51349
52.50000, 54.55469
52.50000, 53.29971
52.50000, 52.96029
52.50000, 54.36474
52.50000, 55.48827
52.50000, 54.82771
52.50000, 55.02871
52.50000, 54.04342
52.50000, 54.16230
52.50000, 52.00630
52.50000, 53.70180
52.50000, 52.61406
52.50000, 52.44401
52.50000, 54.54093
52.50000, 53.72632
52.50000, 53.72217
52.50000, 53.95000
52.50000, 52.29303
52.50000, 52.83648
52.50000, 53.04674
52.50000, 52.81744
52.50000, 53.68351
52.50000, 53.35216
48.30000, 53.05416
48.30000, 51.51061
48.30000, 52.51827
48.30000, 51.91035
48.30000, 52.49781
48.30000, 50.99467
48.30000, 56.15599
48.30000, 51.03683
48.30000, 52.08492
48.30000, 52.08615
48.30000, 51.09992
48.30000, 53.35149
48.30000, 54.34770
48.30000, 53.49721
48.30000, 53.51109
48.30000, 51.85706
48.30000, 52.40058
48.30000, 53.60080
41.90000, 41.11239
40.10000, 37.60156
40.10000, 36.00309
40.10000, 37.33258
40.10000, 36.45472
40.10000, 36.11361
40.10000, 37.21792
40.10000, 36.69523
40.10000, 36.09453
40.10000, 36.66712
40.10000, 37.68722
40.10000, 37.22777
40.10000, 36.13642
40.10000, 36.11870
40.10000, 36.73299
40.10000, 37.14710
40.10000, 36.22005
40.10000, 35.63165
40.10000, 36.29858
40.10000, 36.63193
40.10000, 37.50695
40.10000, 36.78404
40.10000, 36.42145
40.10000, 36.79178
40.10000, 37.11764
40.10000, 37.67944
40.10000, 36.60934
40.10000, 36.81377
40.10000, 37.36217
40.10000, 37.34239
40.10000, 37.28208
40.10000, 36.94993
40.10000, 36.96745
40.10000, 37.02053
40.10000, 37.29324
40.10000, 36.72361
