Target,Output
74.00000,73.87437
74.00000,73.91205
74.00000,73.87029
74.00000,73.95136
74.00000,73.87170
74.00000,74.10294
74.00000,74.00119
74.00000,74.04291
74.00000,74.27159
74.00000,74.15541
74.00000,74.26964
74.00000,74.09144
74.00000,73.96747
74.00000,74.06615
74.00000,73.87842
74.00000,73.94130
74.00000,73.84012
74.00000,74.08322
74.00000,74.11712
74.00000,73.97547
74.00000,73.84561
74.00000,73.95153
74.00000,73.87244
74.00000,74.08704
74.00000,73.93877
74.00000,73.61884
74.00000,73.75885
74.00000,73.59527
74.00000,74.21289
74.00000,74.05070
74.00000,74.08891
74.00000,74.45432
74.00000,74.14189
74.00000,74.14691
74.00000,74.00057
26.10000,27.23236
26.10000,26.15996
26.10000,25.91149
26.10000,26.24603
26.10000,26.15610
26.10000,27.15075
26.10000,26.12920
26.10000,25.66274
26.10000,26.47184
26.10000,26.55272
26.10000,26.47525
26.10000,25.51621
26.10000,27.13476
26.10000,26.96654
26.10000,26.28812
26.10000,26.06115
26.10000,26.62541
26.10000,26.77381
26.10000,27.00308
26.10000,27.10459
26.10000,26.10433
26.10000,26.71741
52.50000,52.16332
52.50000,52.27605
52.50000,51.95605
52.50000,52.13673
52.50000,52.07214
52.50000,52.16223
52.50000,52.55141
52.50000,52.63297
52.50000,52.87670
52.50000,53.17462
52.50000,52.68330
52.50000,52.66536
52.50000,52.90084
52.50000,53.07781
52.50000,52.68504
52.50000,53.00772
52.50000,53.05517
52.50000,52.52441
52.50000,52.48448
52.50000,52.61552
52.50000,52.66416
52.50000,52.78269
52.50000,52.70567
52.50000,53.25502
52.50000,52.82453
52.50000,53.29601
52.50000,53.32996
52.50000,52.79281
52.50000,52.98545
52.50000,52.99879
52.50000,53.00716
52.50000,53.42668
52.50000,53.29431
52.50000,53.32134
52.50000,53.38673
52.50000,53.20613
52.50000,53.30115
48.30000,50.14456
48.30000,50.65762
48.30000,50.76472
48.30000,50.46651
48.30000,50.33536
48.30000,50.77170
48.30000,49.88216
48.30000,50.71802
48.30000,50.41477
48.30000,50.42916
48.30000,50.72092
48.30000,49.99008
48.30000,49.94811
48.30000,49.97780
48.30000,49.96454
48.30000,50.56393
48.30000,50.44469
48.30000,50.40821
41.90000,39.22793
40.10000,39.31754
40.10000,39.96593
40.10000,39.51705
40.10000,39.85661
40.10000,40.19121
40.10000,39.82422
40.10000,40.01582
40.10000,40.21228
40.10000,40.01197
40.10000,39.55567
40.10000,39.81111
40.10000,40.23017
40.10000,40.26148
40.10000,40.06362
40.10000,39.70419
40.10000,39.86637
40.10000,40.12853
40.10000,40.04417
40.10000,40.02931
40.10000,39.81516
40.10000,40.19647
40.10000,40.34504
40.10000,40.31878
40.10000,40.27880
40.10000,40.12561
40.10000,40.49746
40.10000,40.38679
40.10000,40.08504
40.10000,40.14456
40.10000,40.04550
40.10000,40.07833
40.10000,40.11633
40.10000,40.12130
40.10000,39.99320
40.10000,40.21699
40.10000,39.96970
40.10000,40.28134
40.10000,40.28117
40.10000,40.46646
40.10000,40.22476
40.10000,40.12617
40.10000,40.73081
52.50000,48.96053
52.50000,48.96525
52.50000,49.24962
44.00000,42.45408
44.00000,42.46810
44.00000,42.43258
44.00000,42.24760
44.00000,42.90529
44.00000,43.01429
44.00000,42.91530
44.00000,42.30973
44.00000,42.52310
44.00000,42.91346
44.00000,42.60019
44.00000,42.53988
44.00000,42.75193
44.00000,42.27523
34.20000,29.65408
34.20000,30.94410
34.20000,33.23374
34.20000,34.81855
34.20000,34.42978
34.20000,34.75732
34.20000,34.68149
34.20000,35.10353
34.20000,35.77792
34.20000,34.44707
34.20000,34.93433
34.20000,34.61191
34.20000,34.95269
34.20000,35.09051
34.20000,35.26441
34.20000,36.76799
34.20000,35.55909
34.20000,34.60977
34.20000,34.94253
34.20000,35.20044
34.20000,34.26142
34.20000,34.56013
34.20000,34.60213
34.20000,33.72045
34.20000,33.90850
34.20000,33.82187
34.20000,33.54796
34.20000,32.07826
34.20000,33.41327
34.20000,34.72430
34.20000,33.91495
34.20000,33.72229
34.20000,34.89071
34.20000,33.85076
34.20000,33.27863
34.20000,33.46622
34.20000,34.22903
34.20000,34.13206
34.20000,32.64902
34.20000,32.19882
55.80000,57.47582
55.80000,58.52712
55.80000,57.24968
55.80000,56.92806
55.80000,56.31775
55.80000,56.95141
55.80000,55.22266
55.80000,54.91023
55.80000,54.62203
55.80000,55.65829
55.80000,55.30239
53.90000,53.76830
53.90000,53.73330
53.90000,53.63132
53.90000,53.48042
53.90000,53.51136
53.90000,53.47248
